Date,Type,Description,Value,Balance,Account Name,Account Number
28 Aug 2026,D/D,PUREGYM LTD,-28.99,2443.86,HOLLOWAY AJ,602311-20114872
27 Aug 2026,POS,"7712 26AUG26 C , WAITROSE 742 , LONDON GB",-51.03,2472.85,HOLLOWAY AJ,602311-20114872
26 Aug 2026,BAC,"BRIGHTFORD LTD , EXPENSES , FP 26/08/26 0811 , REV735916042881466",184.20,2523.88,HOLLOWAY AJ,602311-20114872
25 Aug 2026,POS,"7712 24AUG26 C , BOOTS 1284 , LONDON GB",-12.45,2339.68,HOLLOWAY AJ,602311-20114872
24 Aug 2026,D/D,SKY DIGITAL,-46.00,2352.13,HOLLOWAY AJ,602311-20114872
24 Aug 2026,POS,"7712 23AUG26 C , THE GOOD PLAICE , LONDON GB",-27.84,2398.13,HOLLOWAY AJ,602311-20114872
24 Aug 2026,POS,"7712 21AUG26 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-9.60,2425.97,HOLLOWAY AJ,602311-20114872
21 Aug 2026,POS,"7712 20AUG26 C , M&S SIMPLY FOOD , LONDON GB",-14.72,2435.57,HOLLOWAY AJ,602311-20114872
21 Aug 2026,POS,"7712 20AUG26 C , KILN & CO ESPRESSO , LONDON GB",-4.85,2450.29,HOLLOWAY AJ,602311-20114872
20 Aug 2026,DPC,"ALEX HOLLOWAY , OBAM6BZC3X8KTNP19 , TPP REVOLUT BANK U, FP 20/08/26 09 , 77320458509435000N",-45.00,2455.14,HOLLOWAY AJ,602311-20114872
19 Aug 2026,POS,"7712 18AUG26 C , AMZNMktplace , AMAZON.CO.UK LU",-29.99,2500.14,HOLLOWAY AJ,602311-20114872
19 Aug 2026,POS,"7712 18AUG26 C , SQ *BLOOM & WILDER , LONDON GB",-38.15,2530.13,HOLLOWAY AJ,602311-20114872
18 Aug 2026,D/D,AVIVA INSURANCE,-42.16,2568.28,HOLLOWAY AJ,602311-20114872
17 Aug 2026,POS,"7712 16AUG26 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-9.60,2610.44,HOLLOWAY AJ,602311-20114872
17 Aug 2026,POS,"7712 16AUG26 C , BURGER LOUNGE LTD , LONDON GB",-38.05,2620.04,HOLLOWAY AJ,602311-20114872
17 Aug 2026,POS,"7712 15AUG26 C , TESCO STORES 3411 , LONDON GB",-72.14,2658.09,HOLLOWAY AJ,602311-20114872
14 Aug 2026,BAC,"J R WHITTAKER , SPLIT DINNER , FP 14/08/26 1912 , REV208473691155724",27.50,2730.23,HOLLOWAY AJ,602311-20114872
13 Aug 2026,POS,"7712 12AUG26 C , SCREWFIX DIRECT , YEOVIL GB",-56.99,2702.73,HOLLOWAY AJ,602311-20114872
12 Aug 2026,D/D,LB CAMDEN,-143.00,2759.72,HOLLOWAY AJ,602311-20114872
11 Aug 2026,POS,"7712 09AUG26 , BOKKA CAFE , LISBOA PT",-18.32,2902.72,HOLLOWAY AJ,602311-20114872
11 Aug 2026,CHG,NON-STERLING TRANS FEE,-1.87,2921.04,HOLLOWAY AJ,602311-20114872
10 Aug 2026,POS,"7712 09AUG26 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-6.80,2922.91,HOLLOWAY AJ,602311-20114872
10 Aug 2026,POS,"7712 09AUG26 C , SQ *THE COFFEE JAR , LONDON GB",-4.60,2929.71,HOLLOWAY AJ,602311-20114872
10 Aug 2026,POS,"7712 08AUG26 C , GAIL'S BAKERY , LONDON GB",-11.80,2934.31,HOLLOWAY AJ,602311-20114872
07 Aug 2026,D/D,THAMES WATER,-38.72,2946.11,HOLLOWAY AJ,602311-20114872
06 Aug 2026,POS,"7712 05AUG26 C , PRET A MANGER , LONDON GB",-9.45,2984.83,HOLLOWAY AJ,602311-20114872
06 Aug 2026,POS,"7712 05AUG26 C , SAINSBURYS S/MKT , LONDON GB",-63.18,2994.28,HOLLOWAY AJ,602311-20114872
05 Aug 2026,S/O,HOLLOWAY A RESERVE,-350.00,3057.46,HOLLOWAY AJ,602311-20114872
04 Aug 2026,DPC,"ALEX HOLLOWAY , OBAT2VKQ7W9MDLR40 , TPP REVOLUT BANK U, FP 04/08/26 10 , 56803179428631000N",-15.00,3407.46,HOLLOWAY AJ,602311-20114872
03 Aug 2026,POS,"7712 01AUG26 C , THE ANCHOR INN , TAP ROOM , GUILDFORD GB",-31.40,3422.46,HOLLOWAY AJ,602311-20114872
03 Aug 2026,POS,"7712 01AUG26 C , THE ANCHOR INN , GARDEN BAR",-6.55,3453.86,HOLLOWAY AJ,602311-20114872
03 Aug 2026,POS,"7712 01AUG26 C , TFL TRAVEL CH , TFL.GOV.UK/CP GB",-3.40,3460.41,HOLLOWAY AJ,602311-20114872
03 Aug 2026,DPC,"ALEX HOLLOWAY , OBAF5HJN8P1ZCXB63 , TPP REVOLUT BANK U, FP 03/08/26 10 , 19472086304916000N",-35.00,3463.81,HOLLOWAY AJ,602311-20114872
03 Aug 2026,DPC,"ALEX HOLLOWAY , OBA9XLDT2M4RVQ7WK , TPP REVOLUT BANK U, FP 03/08/26 10 , 80264931775208000N",-1500.00,3498.81,HOLLOWAY AJ,602311-20114872
30 Jul 2026,D/D,VODAFONE LTD,-24.50,4998.81,HOLLOWAY AJ,602311-20114872
30 Jul 2026,BAC,"BRIGHTFORD LTD , SALARY , FP 30/07/26 0803 , REV735916042881350",3980.44,5023.31,HOLLOWAY AJ,602311-20114872
